Player,Team,Position,FPts_gw1,FPts_gw2,FPts_gw3,FPts_gw4,FPts_gw5,FPts_gw6,FPts_gw7,FPts_gw8,FPts_gw9,FPts_gw10,FPts_gw11,FPts_gw12,FPts_gw13
Femi Seriki,SHU,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Sweet,ARS,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Turner-Cooke,NEW,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jensen Weir,BHA,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau Torres,AVL,D,-0.25,8.75,0.75,0.5,0.25,12.5,0.0,14.25,0.0,8.75,-1.75,3.25,16.5
Brennan Johnson,TOT,F,-0.5,0.5,5.5,0.0,3.0,5.0,0.0,0.0,0.0,10.0,2.5,12.0,7.0
Leon Bailey,AVL,F,-0.5,21.0,0.0,5.0,13.0,2.0,0.0,3.0,13.0,10.0,5.0,13.0,6.0
Lisandro Martinez,MUN,D,-0.5,-2.75,1.75,-0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raul Jimenez,FUL,F,-0.5,0.0,6.5,9.0,0.0,4.5,1.5,0.0,4.5,-0.5,-0.5,17.5,0.5
Tom Lockyer,LUT,D,-0.5,0.0,-0.5,0.0,4.75,6.75,11.75,3.25,12.0,-6.75,9.5,5.0,8.0
Ameen Al Dakhil,BUR,D,-0.5,0.0,-2.0,-6.75,0.5,5.75,0.25,-5.0,-2.25,-3.25,0.0,0.0,0.0
William Osula,SHU,F,-0.5,1.5,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Trent Alexander-Arnold,LIV,D,-0.75,13.25,2.5,26.0,0.0,0.0,0.5,0.75,10.5,8.25,13.25,14.25,15.5
Lewis Dunk,BHA,D,-0.75,1.5,4.75,2.75,3.0,4.0,-7.5,15.75,0.75,5.0,4.0,0.0,-3.75
Dara O'Shea,BUR,D,-0.75,0.0,6.0,0.5,0.0,0.0,0.0,-2.75,3.0,16.5,7.5,0.0,5.5
Ben White,ARS,D,-1.0,11.0,3.75,7.5,15.25,9.5,27.5,14.5,3.0,11.0,4.75,0.0,0.0
Aaron Hickey,BRF,D,-1.0,6.0,0.75,3.5,1.75,-5.75,-4.25,-6.25,0.0,9.25,0.0,0.0,0.0
Ola Aina,NOT,D,-1.0,0.0,-2.0,6.5,4.0,2.5,0.0,0.0,-1.75,-1.0,24.5,9.75,-1.75
Anis Ben Slimane,SHU,M,-1.0,0.0,0.0,0.0,0.0,-2.0,1.5,0.0,0.0,2.0,0.0,-0.5,0.0
Lucas Digne,AVL,D,-1.5,18.5,12.5,10.5,18.0,10.5,0.25,7.0,3.0,9.25,16.75,2.25,9.0
Mads Andersen,LUT,D,-1.5,0.0,1.0,18.5,4.5,0.0,6.0,3.5,0.0,0.0,0.0,0.0,0.0
Oliver Skipp,TOT,M,-1.5,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,2.0,0.0,3.0,0.0,3.5
Joel Veltman,BHA,D,-1.75,2.25,11.0,-0.75,7.25,5.0,-2.0,-3.0,1.5,6.25,1.75,-2.0,5.25
Vitinho,BUR,D,-1.75,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.5,0.25,-1.75,-1.0
Carney Chukwuemeka,CHE,M,-2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari'i Bell,LUT,D,-2.0,0.0,0.0,0.25,2.75,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Connor Roberts,BUR,D,-3.75,0.0,-1.75,-7.0,-1.0,-1.25,-0.75,3.0,-7.5,0.0,0.0,0.0,0.0
Ezri Konsa,AVL,D,-4.5,7.75,3.5,0.75,4.5,13.5,-0.75,4.75,14.25,0.75,1.0,-2.0,-1.0
Anass Zaroury,BUR,F,-5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Matty Cash,AVL,D,-5.25,14.75,30.0,-8.5,0.25,11.5,13.5,4.0,3.75,9.75,0.0,4.5,-0.75
Jadan Raymond,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,,,,,,,,,0.0,,7.0,7.0,3.0,8.5,0.0
Callum Scanlon,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Ryan One,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
Joshua Duffus,,,,,,,,,,,,0.0,0.0,0.0,0.0
Devan Tanton,,,,,,,,,,,,0.0,0.0,0.0,0.0
Leo Castledine,,,,,,,,,,,,,0.0,0.0,0.0
Zack Nelson,,,,,,,,,,,,,0.0,0.0,0.0
Kaide Gordon,,,,,,,,,,,,,,0.0,0.0
Bradley Ibrahim,,,,,,,,,,,,,,0.0,0.0
Benicio Baker-Boaitey,,,,,,,,,,,,,,0.0,0.0
Lucas De Bolle,,,,,,,,,,,,,,0.0,0.0
Alfie Dorrington,,,,,,,,,,,,,,0.0,0.0
Treymaurice Nyoni,,,,,,,,,,,,,,0.0,0.0
Mark O'Mahony,,,,,,,,,,,,,,0.0,0.0
Ben Jackson,,,,,,,,,,,,,,,0.0
