minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent,game_id
2,John McGinn,Aston Villa,0.02,,Off Target,28.0,Left Foot,,Douglas Luiz,Pass (Live),Moussa Diaby,Pass (Live),Luton Town,ee677172
4,Nicolo Zaniolo,Aston Villa,0.08,,Off Target,15.0,Left Foot,Volley,Ollie Watkins,Pass (Live),Moussa Diaby,Pass (Live),Luton Town,ee677172
9,Nicolo Zaniolo,Aston Villa,0.12,,Blocked,4.0,Right Foot,,Lucas Digne,Pass (Live),Moussa Diaby,Pass (Live),Luton Town,ee677172
12,Ollie Watkins,Aston Villa,0.47,0.38,Saved,10.0,Left Foot,,Matty Cash,Pass (Live),Ezri Konsa,Pass (Live),Luton Town,ee677172
12,Ollie Watkins,Aston Villa,0.37,0.96,Saved,4.0,Right Foot,,Ollie Watkins,Shot,nan,nan,Luton Town,ee677172
17,John McGinn,Aston Villa,0.06,0.33,Goal,12.0,Right Foot,,John McGinn,Take-On,Douglas Luiz,Pass (Dead),Luton Town,ee677172
20,Nicolo Zaniolo,Aston Villa,0.25,0.76,Saved,3.0,Left Foot,,Ollie Watkins,Pass (Live),Ollie Watkins,Take-On,Luton Town,ee677172
21,Pau Torres,Aston Villa,0.05,,Off Target,9.0,Head,,Douglas Luiz,Pass (Dead),Nicolò Zaniolo,Shot,Luton Town,ee677172
24,Nicolo Zaniolo,Aston Villa,0.06,,Blocked,24.0,Left Foot,,Matty Cash,Pass (Live),John McGinn,Pass (Live),Luton Town,ee677172
40,Pau Torres,Aston Villa,0.02,,Blocked,37.0,Left Foot,,Boubacar Kamara,Pass (Live),Matty Cash,Pass (Live),Luton Town,ee677172
44,Ezri Konsa,Aston Villa,0.12,,Blocked,10.0,Left Foot,,Nicolò Zaniolo,Shot,nan,nan,Luton Town,ee677172
44,Nicolo Zaniolo,Aston Villa,0.1,,Off Target,9.0,Head,,Lucas Digne,Pass (Live),Pau Torres,Pass (Live),Luton Town,ee677172
44,Moussa Diaby,Aston Villa,0.02,,Blocked,24.0,Left Foot,,Ezri Konsa,Pass (Live),Pau Torres,Pass (Live),Luton Town,ee677172
49,Moussa Diaby,Aston Villa,0.28,0.66,Goal,11.0,Left Foot,,Lucas Digne,Pass (Live),John McGinn,Pass (Live),Luton Town,ee677172
60,Ross Barkley,Luton Town,0.02,,Off Target,32.0,Left Foot,,Alfie Doughty,Pass (Live),Andros Townsend,Pass (Dead),Aston Villa,ee677172
68,Tahith Chong,Luton Town,0.05,,Blocked,17.0,Left Foot,,Alfie Doughty,Pass (Live),Andros Townsend,Pass (Dead),Aston Villa,ee677172
73,Ross Barkley,Luton Town,0.05,,Blocked,21.0,Right Foot,,Andros Townsend,Pass (Dead),Chiedozie Ogbene,Fouled,Aston Villa,ee677172
76,Leon Bailey,Aston Villa,0.14,,Off Target,16.0,Left Foot,,Moussa Diaby,Pass (Live),Leon Bailey,Pass (Live),Luton Town,ee677172
80,John McGinn,Aston Villa,0.28,0.78,Saved,12.0,Right Foot,,Leon Bailey,Pass (Live),Youri Tielemans,Pass (Live),Luton Town,ee677172
87,Teden Mengi,Luton Town,0.06,,Off Target,13.0,Head,,Andros Townsend,Pass (Dead),Tahith Chong,Fouled,Aston Villa,ee677172
90+3,Ross Barkley,Luton Town,0.08,,Blocked,15.0,Right Foot,,Ross Barkley,Tackle,nan,nan,Aston Villa,ee677172
90+3,Elijah Adebayo,Luton Town,0.14,,Blocked,13.0,Right Foot,,Ross Barkley,Shot,nan,nan,Aston Villa,ee677172
90+4,Ross Barkley,Luton Town,0.1,0.07,Saved,10.0,Right Foot,Deflected,Tom Lockyer,Pass (Live),Andros Townsend,Pass (Dead),Aston Villa,ee677172
7,Carlos Baleba,Brighton,0.02,0.17,Saved,30.0,Left Foot,,Mahmoud Dahoud,Pass (Live),nan,nan,Fulham,a0c422e9
8,Simon Adingra,Brighton,0.13,0.2,Saved,4.0,Head,,Adam Lallana,Pass (Live),Kaoru Mitoma,Pass (Live),Fulham,a0c422e9
8,Carlos Baleba,Brighton,0.01,,Off Target,29.0,Left Foot,Volley,Simon Adingra,Shot,nan,nan,Fulham,a0c422e9
10,Harrison Reed,Fulham,0.01,,Off Target,20.0,Head,,Willian,Pass (Live),Alex Iwobi,Pass (Live),Brighton,a0c422e9
13,Carlos Baleba,Brighton,0.09,,Off Target,17.0,Left Foot,,Kaoru Mitoma,Pass (Live),Kaoru Mitoma,Take-On,Fulham,a0c422e9
15,Simon Adingra,Brighton,0.02,,Off Target,23.0,Right Foot,,Adam Lallana,Pass (Live),Evan Ferguson,Pass (Live),Fulham,a0c422e9
17,Kaoru Mitoma,Brighton,0.09,,Off Target,12.0,Left Foot,,Kaoru Mitoma,Take-On,Mahmoud Dahoud,Pass (Live),Fulham,a0c422e9
26,Evan Ferguson,Brighton,0.16,0.35,Goal,21.0,Left Foot,,Pascal Groß,Pass (Live),Igor,Pass (Live),Fulham,a0c422e9
34,Antonee Robinson,Fulham,0.01,,Off Target,33.0,Left Foot,Volley,nan,nan,nan,nan,Brighton,a0c422e9
38,Bobby Reid,Fulham,0.09,,Off Target,11.0,Right Foot,Volley,Willian,Pass (Live),Alex Iwobi,Pass (Live),Brighton,a0c422e9
40,Evan Ferguson,Brighton,0.05,0.14,Saved,15.0,Right Foot,,nan,nan,nan,nan,Fulham,a0c422e9
49,Lewis Dunk,Brighton,0.08,,Woodwork,27.0,Right Foot,Free kick,Adam Lallana,Fouled,Pascal Groß,Pass (Live),Fulham,a0c422e9
53,Willian,Fulham,0.03,0.01,Saved,30.0,Right Foot,,João Palhinha,Pass (Live),João Palhinha,Tackle,Brighton,a0c422e9
60,Carlos Baleba,Brighton,0.05,,Off Target,23.0,Left Foot,,Mahmoud Dahoud,Pass (Live),Kaoru Mitoma,Pass (Live),Fulham,a0c422e9
63,Alex Iwobi,Fulham,0.02,0.04,Saved,31.0,Right Foot,,Andreas Pereira,Pass (Live),Willian,Pass (Live),Brighton,a0c422e9
65,Joao Palhinha,Fulham,0.13,0.39,Goal,21.0,Right Foot,,Harry Wilson,Pass (Live),Alex Iwobi,Pass (Live),Brighton,a0c422e9
68,Rodrigo Muniz,Fulham,0.12,0.25,Saved,8.0,Left Foot,,Antonee Robinson,Pass (Live),Willian,Pass (Live),Brighton,a0c422e9
69,Pascal Gross,Brighton,0.14,,Blocked,16.0,Left Foot,,Mahmoud Dahoud,Pass (Live),Igor,Pass (Live),Fulham,a0c422e9
82,Ansu Fati,Brighton,0.17,0.35,Saved,11.0,Left Foot,,Facundo Buonanotte,Pass (Live),Billy Gilmour,Pass (Live),Fulham,a0c422e9
88,Adam Webster,Brighton,0.03,,Blocked,10.0,Head,,Pascal Groß,Pass (Dead),Igor,Pass (Live),Fulham,a0c422e9
90,Joel Veltman,Brighton,0.02,0.03,Saved,25.0,Right Foot,Volley,Kaoru Mitoma,Pass (Live),Ansu Fati,Pass (Live),Fulham,a0c422e9
90+3,Andreas Pereira,Fulham,0.06,,Off Target,15.0,Right Foot,,Harry Wilson,Pass (Live),Harry Wilson,Take-On,Brighton,a0c422e9
90+3,Andreas Pereira,Fulham,0.21,,Blocked,11.0,Left Foot,,Andreas Pereira,Shot,nan,nan,Brighton,a0c422e9
90+3,Andreas Pereira,Fulham,0.04,0.19,Saved,12.0,Right Foot,Volley,Andreas Pereira,Shot,nan,nan,Brighton,a0c422e9
90+7,Billy Gilmour,Brighton,0.06,,Blocked,17.0,Right Foot,,nan,nan,nan,nan,Fulham,a0c422e9
90+7,Igor,Brighton,0.06,,Off Target,22.0,Right Foot,,Billy Gilmour,Shot,nan,nan,Fulham,a0c422e9
90+9,Joao Pedro,Brighton,0.17,,Blocked,8.0,Right Foot,,Kaoru Mitoma,Pass (Live),Facundo Buonanotte,Pass (Live),Fulham,a0c422e9
90+9,Facundo Buonanotte,Brighton,0.07,,Off Target,15.0,Left Foot,,João Pedro,Shot,nan,nan,Fulham,a0c422e9
8,Diogo Jota,Liverpool,0.15,0.05,Saved,7.0,Head,,Trent Alexander-Arnold,Pass (Dead),Mohamed Salah,Pass (Live),Nott'ham Forest,79bf0c7f
15,Alexis Mac Allister,Liverpool,0.03,,Off Target,32.0,Right Foot,,Ibrahima Konaté,Pass (Live),Virgil van Dijk,Pass (Live),Nott'ham Forest,79bf0c7f
21,Trent Alexander-Arnold,Liverpool,0.01,,Blocked,34.0,Right Foot,,Virgil van Dijk,Pass (Live),Kostas Tsimikas,Pass (Live),Nott'ham Forest,79bf0c7f
29,Darwin Nunez,Liverpool,0.03,0.03,Saved,11.0,Right Foot,,Mohamed Salah,Pass (Live),Ibrahima Konaté,Pass (Live),Nott'ham Forest,79bf0c7f
30,Darwin Nunez,Liverpool,0.15,,Off Target,6.0,Head,,Kostas Tsimikas,Pass (Dead),Darwin Núñez,Shot,Nott'ham Forest,79bf0c7f
31,Darwin Nunez,Liverpool,0.11,0.33,Saved,13.0,Right Foot,,Mohamed Salah,Pass (Live),Alexis Mac Allister,Pass (Live),Nott'ham Forest,79bf0c7f
31,Diogo Jota,Liverpool,0.74,0.86,Goal,9.0,Right Foot,,Darwin Núñez,Shot,nan,nan,Nott'ham Forest,79bf0c7f
35,Nicolas Dominguez,Nott'ham Forest,0.05,,Blocked,15.0,Right Foot,,Morgan Gibbs-White,Pass (Live),nan,nan,Liverpool,79bf0c7f
35,Darwin Nunez,Liverpool,0.84,0.96,Goal,3.0,Left Foot,,Dominik Szoboszlai,Pass (Live),Mohamed Salah,Pass (Live),Nott'ham Forest,79bf0c7f
40,Ryan Gravenberch,Liverpool,0.02,0.02,Saved,24.0,Right Foot,Deflected,Virgil van Dijk,Pass (Live),Diogo Jota,Pass (Live),Nott'ham Forest,79bf0c7f
40,Dominik Szoboszlai,Liverpool,0.06,0.15,Saved,20.0,Left Foot,,Diogo Jota,Pass (Live),Ryan Gravenberch,Shot,Nott'ham Forest,79bf0c7f
42,Darwin Nunez,Liverpool,0.02,,Off Target,18.0,Right Foot,Volley,nan,nan,nan,nan,Nott'ham Forest,79bf0c7f
44,Murillo,Nott'ham Forest,0.08,,Off Target,15.0,Left Foot,,Willy Boly,Pass (Live),Morgan Gibbs-White,Pass (Dead),Liverpool,79bf0c7f
45+4,Trent Alexander-Arnold,Liverpool,0.04,,Blocked,29.0,Right Foot,Free kick,Alexis Mac Allister,Fouled,Virgil van Dijk,Pass (Live),Nott'ham Forest,79bf0c7f
45+5,Diogo Jota,Liverpool,0.07,,Blocked,7.0,Right Foot,Volley,Dominik Szoboszlai,Pass (Dead),Trent Alexander-Arnold,Shot,Nott'ham Forest,79bf0c7f
48,Mohamed Salah,Liverpool,0.03,,Off Target,20.0,Left Foot,,Darwin Núñez,Pass (Live),nan,nan,Nott'ham Forest,79bf0c7f
59,Harvey Elliott,Liverpool,0.1,,Blocked,13.0,Left Foot,,Dominik Szoboszlai,Pass (Live),Cody Gakpo,Pass (Live),Nott'ham Forest,79bf0c7f
64,Mohamed Salah,Liverpool,0.06,,Off Target,25.0,Left Foot,Free kick,Mohamed Salah,Fouled,Cody Gakpo,Pass (Live),Nott'ham Forest,79bf0c7f
66,Harvey Elliott,Liverpool,0.02,,Off Target,27.0,Left Foot,Volley,Cody Gakpo,Pass (Live),Kostas Tsimikas,Pass (Live),Nott'ham Forest,79bf0c7f
68,Trent Alexander-Arnold,Liverpool,0.02,,Off Target,36.0,Right Foot,,nan,nan,nan,nan,Nott'ham Forest,79bf0c7f
77,Mohamed Salah,Liverpool,0.73,0.09,Goal,25.0,Right Foot,,Dominik Szoboszlai,Pass (Live),nan,nan,Nott'ham Forest,79bf0c7f
82,Cody Gakpo,Liverpool,0.03,,Off Target,24.0,Right Foot,,Alexis Mac Allister,Pass (Live),Harvey Elliott,Pass (Live),Nott'ham Forest,79bf0c7f
84,Andrey Santos,Nott'ham Forest,0.04,,Blocked,20.0,Right Foot,,Serge Aurier,Fouled,Moussa Niakhate,Pass (Live),Liverpool,79bf0c7f
85,Anthony Elanga,Nott'ham Forest,0.11,,Woodwork,5.0,Left Foot,Volley,Ryan Yates,Pass (Live),Serge Aurier,Pass (Live),Liverpool,79bf0c7f
87,Andrey Santos,Nott'ham Forest,0.02,,Off Target,25.0,Right Foot,Volley,nan,nan,nan,nan,Liverpool,79bf0c7f
88,Anthony Elanga,Nott'ham Forest,0.08,,Off Target,11.0,Right Foot,Volley,Neco Williams,Pass (Live),Ibrahim Sangaré,Pass (Live),Liverpool,79bf0c7f
90,Ibrahim Sangare,Nott'ham Forest,0.04,,Blocked,15.0,Right Foot,Volley,Andrey Santos,Pass (Live),Moussa Niakhate,Pass (Live),Liverpool,79bf0c7f
90,Ibrahim Sangare,Nott'ham Forest,0.01,,Blocked,15.0,Head,,Ibrahim Sangaré,Shot,nan,nan,Liverpool,79bf0c7f
90+2,Harvey Elliott,Liverpool,0.03,,Off Target,26.0,Left Foot,,Kostas Tsimikas,Pass (Live),Alexis Mac Allister,Pass (Live),Nott'ham Forest,79bf0c7f
90+5,Anthony Elanga,Nott'ham Forest,0.02,0.04,Saved,18.0,Right Foot,,Ibrahim Sangaré,Pass (Live),Andrey Santos,Pass (Live),Liverpool,79bf0c7f
6,Bryan Mbeumo,Brentford,0.04,0.14,Saved,25.0,Left Foot,Free kick,Bryan Mbeumo,Fouled,Kristoffer Ajer,Pass (Live),West Ham,3235dd6e
10,Yoane Wissa,Brentford,0.15,,Blocked,7.0,Left Foot,,Frank Onyeka,Pass (Live),Christian Nørgaard,Pass (Live),West Ham,3235dd6e
11,Neal Maupay,Brentford,0.36,0.89,Goal,4.0,Head,,Frank Onyeka,Shot,nan,nan,West Ham,3235dd6e
11,Frank Onyeka,Brentford,0.15,,Blocked,10.0,Right Foot,Volley,Mathias Jensen,Pass (Live),Yoane Wissa,Shot,West Ham,3235dd6e
14,Konstantinos Mavropanos,West Ham,0.03,,Off Target,11.0,Head,,Vladimír Coufal,Pass (Dead),Emerson Palmieri,Pass (Live),Brentford,3235dd6e
17,Jarrod Bowen,West Ham,0.03,,Off Target,13.0,Left Foot,,Kudus Mohammed,Pass (Live),Michail Antonio,Pass (Live),Brentford,3235dd6e
19,Kudus Mohammed,West Ham,0.06,0.37,Goal,15.0,Left Foot,"Deflected, Volley",Michail Antonio,Pass (Live),Emerson Palmieri,Pass (Dead),Brentford,3235dd6e
26,Kudus Mohammed,West Ham,0.45,,Woodwork,6.0,Left Foot,Volley,Saïd Benrahma,Pass (Live),James Ward-Prowse,Pass (Live),Brentford,3235dd6e
26,Jarrod Bowen,West Ham,0.51,0.84,Goal,2.0,Left Foot,,Kudus Mohammed,Shot,nan,nan,Brentford,3235dd6e
36,Yoane Wissa,Brentford,0.03,,Blocked,11.0,Right Foot,Volley,Bryan Mbeumo,Fouled,Christian Nørgaard,Pass (Live),West Ham,3235dd6e
36,Christian Norgaard,Brentford,0.08,,Off Target,10.0,Head,,Mathias Jensen,Pass (Dead),Yoane Wissa,Shot,West Ham,3235dd6e
41,Michail Antonio,West Ham,0.75,,Off Target,4.0,Left Foot,,Jarrod Bowen,Pass (Live),Kudus Mohammed,Pass (Live),Brentford,3235dd6e
45+3,Bryan Mbeumo,Brentford,0.01,,Off Target,24.0,Left Foot,,Vitaly Janelt,Pass (Live),Bryan Mbeumo,Pass (Dead),West Ham,3235dd6e
45+3,Bryan Mbeumo,Brentford,0.03,,Off Target,26.0,Left Foot,,Frank Onyeka,Pass (Live),Mathias Jensen,Pass (Live),West Ham,3235dd6e
45+5,Frank Onyeka,Brentford,0.08,,Blocked,11.0,Right Foot,,Christian Nørgaard,Pass (Live),Bryan Mbeumo,Pass (Live),West Ham,3235dd6e
45+7,Bryan Mbeumo,Brentford,0.23,,Off Target,12.0,Left Foot,,Vitaly Janelt,Pass (Live),Mathias Jensen,Pass (Live),West Ham,3235dd6e
49,Christian Norgaard,Brentford,0.02,,Off Target,22.0,Right Foot,,Mathias Jensen,Pass (Live),Kristoffer Ajer,Pass (Live),West Ham,3235dd6e
61,Kudus Mohammed,West Ham,0.02,,Off Target,28.0,Left Foot,,Michail Antonio,Pass (Live),Emerson Palmieri,Pass (Dead),Brentford,3235dd6e
66,Neal Maupay,Brentford,0.12,,Blocked,11.0,Right Foot,Volley,Mathias Jensen,Pass (Dead),nan,nan,West Ham,3235dd6e
67,Vitaly Janelt,Brentford,0.01,,Blocked,25.0,Left Foot,Volley,Neal Maupay,Shot,nan,nan,West Ham,3235dd6e
69,Nathan Collins,Brentford,0.16,0.68,Goal,7.0,Head,,Mathias Jensen,Pass (Live),Bryan Mbeumo,Pass (Live),West Ham,3235dd6e
79,James Ward-Prowse,West Ham,0.05,,Blocked,19.0,Right Foot,,Jarrod Bowen,Pass (Live),James Ward-Prowse,Tackle,Brentford,3235dd6e
80,Vladimir Coufal,West Ham,0.02,,Blocked,30.0,Left Foot,,James Ward-Prowse,Pass (Live),Pablo Fornals,Pass (Live),Brentford,3235dd6e
80,Pablo Fornals,West Ham,0.05,,Off Target,19.0,Right Foot,,Kudus Mohammed,Pass (Live),Vladimír Coufal,Shot,Brentford,3235dd6e
86,Kudus Mohammed,West Ham,0.06,,Off Target,11.0,Head,,Emerson Palmieri,Pass (Live),Nayef Aguerd,Pass (Live),Brentford,3235dd6e
87,Neal Maupay,Brentford,0.13,,Off Target,15.0,Right Foot,,Neal Maupay,Pass (Live),Bryan Mbeumo,Pass (Live),West Ham,3235dd6e
90,Frank Onyeka,Brentford,0.01,0.02,Saved,31.0,Right Foot,,Neal Maupay,Pass (Live),Saman Ghoddos,Pass (Live),West Ham,3235dd6e
90+3,Emerson Palmieri,West Ham,0.02,,Off Target,26.0,Left Foot,,Pablo Fornals,Pass (Live),Nayef Aguerd,Pass (Live),Brentford,3235dd6e
2,Zeki Amdouni,Burnley,0.06,,Off Target,9.0,Head,,Jóhann Berg Guðmundsson,Pass (Live),Josh Brownhill,Pass (Live),Crystal Palace,8797f9a9
8,Johann Berg Gudmundsson,Burnley,0.02,,Blocked,19.0,Left Foot,,Jordan Beyer,Pass (Live),Vitinho,Pass (Live),Crystal Palace,8797f9a9
16,Joachim Andersen,Crystal Palace,0.04,0.01,Saved,13.0,Head,,Will Hughes,Pass (Dead),Will Hughes,Fouled,Burnley,8797f9a9
22,Jeffrey Schlupp,Crystal Palace,0.84,0.97,Goal,3.0,Left Foot,,Jordan Ayew,Pass (Live),Jordan Ayew,Take-On,Burnley,8797f9a9
29,Johann Berg Gudmundsson,Burnley,0.03,,Off Target,13.0,Head,,Charlie Taylor,Pass (Live),Jordan Beyer,Pass (Live),Crystal Palace,8797f9a9
39,Luca Koleosho,Burnley,0.07,,Blocked,11.0,Right Foot,,Charlie Taylor,Pass (Live),Jordan Beyer,Pass (Live),Crystal Palace,8797f9a9
40,Luca Koleosho,Burnley,0.05,,Off Target,15.0,Left Foot,,Josh Brownhill,Pass (Live),Jóhann Berg Guðmundsson,Pass (Live),Crystal Palace,8797f9a9
42,Zeki Amdouni,Burnley,0.09,,Off Target,12.0,Right Foot,,Jóhann Berg Guðmundsson,Pass (Dead),Jóhann Berg Guðmundsson,Fouled,Crystal Palace,8797f9a9
45+2,Luca Koleosho,Burnley,0.02,0.03,Saved,23.0,Right Foot,,Josh Brownhill,Pass (Dead),Zeki Amdouni,Fouled,Crystal Palace,8797f9a9
45+3,Jordan Beyer,Burnley,0.06,,Off Target,11.0,Left Foot,,Luca Koleosho,Shot,nan,nan,Crystal Palace,8797f9a9
54,Jay Rodriguez,Burnley,0.03,,Off Target,16.0,Head,,Dara O'Shea,Pass (Live),Vitinho,Pass (Live),Crystal Palace,8797f9a9
60,Johann Berg Gudmundsson,Burnley,0.17,,Off Target,8.0,Left Foot,,Luca Koleosho,Pass (Live),Luca Koleosho,Take-On,Crystal Palace,8797f9a9
74,Jordan Ayew,Crystal Palace,0.08,,Blocked,25.0,Left Foot,,Odsonne Édouard,Pass (Live),Tyrick Mitchell,Pass (Live),Burnley,8797f9a9
75,Luca Koleosho,Burnley,0.04,,Off Target,16.0,Left Foot,,Jay Rodriguez,Pass (Live),Zeki Amdouni,Pass (Live),Crystal Palace,8797f9a9
80,Josh Brownhill,Burnley,0.03,0.14,Saved,26.0,Right Foot,,Wilson Odobert,Pass (Live),Charlie Taylor,Pass (Live),Crystal Palace,8797f9a9
81,Jay Rodriguez,Burnley,0.08,0.05,Saved,6.0,Head,,Jóhann Berg Guðmundsson,Pass (Dead),Josh Brownhill,Shot,Crystal Palace,8797f9a9
83,Wilson Odobert,Burnley,0.01,0.06,Saved,15.0,Left Foot,,Nathan Redmond,Pass (Live),Jordan Beyer,Pass (Live),Crystal Palace,8797f9a9
85,Charlie Taylor,Burnley,0.01,,Off Target,13.0,Head,,Jóhann Berg Guðmundsson,Pass (Dead),Wilson Odobert,Shot,Crystal Palace,8797f9a9
89,Dara O'Shea,Burnley,0.08,0.29,Saved,10.0,Head,,Jóhann Berg Guðmundsson,Pass (Dead),nan,Fouled,Crystal Palace,8797f9a9
90+4,Tyrick Mitchell,Crystal Palace,0.35,0.83,Goal,14.0,Left Foot,,Eberechi Eze,Pass (Live),Naouirou Ahamada,Pass (Live),Burnley,8797f9a9
90+6,Jay Rodriguez,Burnley,0.28,,Off Target,3.0,Left Foot,,Josh Brownhill,Pass (Live),Sander Berge,Pass (Live),Crystal Palace,8797f9a9
3.0,Abdoulaye Doucoure,Everton,0.1,0.21,Saved,8.0,Left Foot,Volley,Dominic Calvert-Lewin,Pass (Live),Jordan Pickford,Pass (Dead),Brighton,6ecb53ac
6.0,Simon Adingra,Brighton,0.03,,Off Target,8.0,Head,,James Milner,Pass (Live),Pascal Groß,Pass (Live),Everton,6ecb53ac
7.0,Vitaliy Mykolenko,Everton,0.11,0.15,Saved,8.0,Left Foot,,Dominic Calvert-Lewin,Pass (Live),Vitaliy Mykolenko,Pass (Live),Brighton,6ecb53ac
7.0,Vitaliy Mykolenko,Everton,0.08,0.19,Goal,10.0,Right Foot,Deflected,Vitaliy Mykolenko,Shot,nan,nan,Brighton,6ecb53ac
9.0,Simon Adingra,Brighton,0.02,,Off Target,25.0,Left Foot,,nan,nan,nan,nan,Everton,6ecb53ac
24.0,James Garner,Everton,0.13,,Off Target,23.0,Right Foot,Free kick,Dominic Calvert-Lewin,Fouled,Abdoulaye Doucouré,Pass (Live),Brighton,6ecb53ac
28.0,Kaoru Mitoma,Brighton,0.11,0.04,Saved,10.0,Right Foot,,Kaoru Mitoma,Take-On,James Milner,Pass (Live),Everton,6ecb53ac
30.0,Dominic Calvert-Lewin,Everton,0.06,,Off Target,20.0,Left Foot,,nan,nan,nan,nan,Brighton,6ecb53ac
39.0,James Tarkowski,Everton,0.01,,Off Target,14.0,Head,,Jordan Pickford,Pass (Dead),Jack Harrison,Fouled,Brighton,6ecb53ac
55.0,Lewis Dunk,Brighton,0.12,0.29,Saved,25.0,Right Foot,Free kick,Billy Gilmour,Fouled,João Pedro,Pass (Live),Everton,6ecb53ac
67.0,Pascal Gross,Brighton,0.06,,Off Target,14.0,Left Foot,,Evan Ferguson,Pass (Live),Lewis Dunk,Pass (Live),Everton,6ecb53ac
71.0,Joao Pedro,Brighton,0.15,,Blocked,16.0,Left Foot,,Pascal Groß,Pass (Live),Mahmoud Dahoud,Pass (Live),Everton,6ecb53ac
75.0,Dwight McNeil,Everton,0.05,,Off Target,21.0,Left Foot,,Ashley Young,Pass (Live),James Garner,Pass (Live),Brighton,6ecb53ac
79.0,Kaoru Mitoma,Brighton,0.01,,Off Target,11.0,Left Foot,Volley,João Pedro,Pass (Live),James Milner,Pass (Live),Everton,6ecb53ac
88.0,James Tarkowski,Everton,0.12,,Blocked,5.0,Head,,Dwight McNeil,Pass (Dead),Abdoulaye Doucouré,Pass (Live),Brighton,6ecb53ac
89.0,Vitaliy Mykolenko,Everton,0.01,,Blocked,28.0,Left Foot,,Vitaliy Mykolenko,Pass (Live),Idrissa Gana Gueye,Pass (Live),Brighton,6ecb53ac
90.0,James Tarkowski,Everton,0.03,0.07,Saved,8.0,Head,,James Garner,Pass (Dead),Dwight McNeil,Pass (Live),Brighton,6ecb53ac
16,Willian,Fulham,0.12,,Blocked,16.0,Right Foot,,Willian,Take-On,Andreas Pereira,Pass (Live),Manchester Utd,31273be0
22,Willian,Fulham,0.02,,Blocked,11.0,Left Foot,,João Palhinha,Pass (Dead),Rodrigo Muniz,Fouled,Manchester Utd,31273be0
23,Harry Wilson,Fulham,0.02,,Off Target,24.0,Left Foot,Volley,Willian,Shot,nan,nan,Manchester Utd,31273be0
27,Scott McTominay,Manchester Utd,0.07,,Blocked,13.0,Left Foot,,Alejandro Garnacho,Pass (Live),Bruno Fernandes,Pass (Live),Fulham,31273be0
31,Harry Wilson,Fulham,0.06,,Blocked,29.0,Left Foot,,Alex Iwobi,Pass (Live),nan,nan,Manchester Utd,31273be0
32,Jonny Evans,Manchester Utd,0.06,,Off Target,5.0,Right Foot,Volley,Antony,Fouled,Rasmus Højlund,Pass (Live),Fulham,31273be0
33,Bruno Fernandes,Manchester Utd,0.06,0.35,Saved,22.0,Right Foot,,Rasmus Højlund,Pass (Live),Alejandro Garnacho,Pass (Live),Fulham,31273be0
38,Christian Eriksen,Manchester Utd,0.02,,Blocked,27.0,Left Foot,,Bruno Fernandes,Pass (Live),Antony,Pass (Live),Fulham,31273be0
38,Alex Iwobi,Fulham,0.1,,Off Target,22.0,Right Foot,,nan,nan,nan,nan,Manchester Utd,31273be0
40,Diogo Dalot,Manchester Utd,0.02,,Off Target,23.0,Right Foot,Volley,Antony,Pass (Live),Bruno Fernandes,Pass (Live),Fulham,31273be0
44,Alex Iwobi,Fulham,0.01,,Blocked,14.0,Left Foot,,Andreas Pereira,Pass (Dead),Antonee Robinson,Pass (Live),Manchester Utd,31273be0
45+1,Willian,Fulham,0.03,,Off Target,24.0,Right Foot,,Willian,Take-On,Andreas Pereira,Pass (Live),Manchester Utd,31273be0
45+3,Rodrigo Muniz,Fulham,0.03,,Off Target,10.0,Head,,Andreas Pereira,Pass (Dead),Alex Iwobi,Pass (Live),Manchester Utd,31273be0
48,Alejandro Garnacho,Manchester Utd,0.06,0.06,Saved,14.0,Right Foot,Deflected,Diogo Dalot,Pass (Live),Antony,Pass (Live),Fulham,31273be0
58,Willian,Fulham,0.06,,Blocked,18.0,Left Foot,,Harry Wilson,Pass (Live),Alex Iwobi,Pass (Live),Manchester Utd,31273be0
58,Willian,Fulham,0.04,,Off Target,27.0,Right Foot,,Rodrigo Muniz,Pass (Live),Antonee Robinson,Pass (Live),Manchester Utd,31273be0
61,Harry Wilson,Fulham,0.03,0.2,Saved,23.0,Left Foot,,Alex Iwobi,Pass (Live),Alex Iwobi,Take-On,Manchester Utd,31273be0
61,Andreas Pereira,Fulham,0.08,,Blocked,5.0,Head,,Harry Wilson,Shot,nan,nan,Manchester Utd,31273be0
61,Joao Palhinha,Fulham,0.15,0.1,Saved,12.0,Right Foot,,Willian,Pass (Live),Andreas Pereira,Pass (Live),Manchester Utd,31273be0
63,Calvin Bassey,Fulham,0.05,,Blocked,12.0,Right Foot,"Deflected, Volley",Andreas Pereira,Pass (Dead),Harry Wilson,Pass (Live),Manchester Utd,31273be0
65,Rodrigo Muniz,Fulham,0.04,,Off Target,11.0,Head,,Andreas Pereira,Pass (Dead),Tim Ream,Pass (Live),Manchester Utd,31273be0
71,Facundo Pellistri,Manchester Utd,0.04,0.26,Saved,14.0,Left Foot,,Christian Eriksen,Pass (Live),Alejandro Garnacho,Pass (Live),Fulham,31273be0
73,Alex Iwobi,Fulham,0.05,,Off Target,25.0,Left Foot,,Andreas Pereira,Pass (Live),Willian,Pass (Live),Manchester Utd,31273be0
