team,minute,score,player1,player2,event_type,game_id
Newcastle United,70,0:6,Alexander Isak,Callum Wilson,substitute_in,cf4fef85
Newcastle United,70,0:6,Valentino Livramento,Kieran Trippier,substitute_in,cf4fef85
Sheffield United,75,0:7,Chris Basham,James Mcatee,substitute_in,cf4fef85
Newcastle United,81,0:7,Lewis Hall,Bruno Guimarães,substitute_in,cf4fef85
Sheffield United,56,2:0,Chris Basham,John Egan,substitute_in,b82be6d7
Sheffield United,70,2:0,Tom Davies,James Mcatee,substitute_in,b82be6d7
West Ham United,72,2:0,Kudus Mohammed,Michail Antonio,substitute_in,b82be6d7
West Ham United,72,2:0,Saïd Benrahma,Edson Álvarez,substitute_in,b82be6d7
Sheffield United,79,2:0,Anis Ben Slimane,Gustavo Hamer,substitute_in,b82be6d7
Sheffield United,79,2:0,Rhian Brewster,Cameron Archer,substitute_in,b82be6d7
Sheffield United,79,2:0,Auston Trusty,Jayden Bogle,substitute_in,b82be6d7
West Ham United,90+3,2:0,Pablo Fornals,Jarrod Bowen,substitute_in,b82be6d7
West Ham United,90+3,2:0,Konstantinos Mavropanos,Lucas Paquetá,substitute_in,b82be6d7
Everton,46,1:2,Jack Harrison,Idrissa Gana Gueye,substitute_in,921d5f17
Luton Town,46,1:2,Mads Juel Andersen,Reece Burke,substitute_in,921d5f17
Luton Town,56,1:2,Teden Mengi,Tom Lockyer,substitute_in,921d5f17
Everton,60,1:2,Beto,Abdoulaye Doucouré,substitute_in,921d5f17
Everton,78,1:2,Nathan Patterson,Ashley Young,substitute_in,921d5f17
Luton Town,78,1:2,Elijah Adebayo,Carlton Morris,substitute_in,921d5f17
Luton Town,83,1:2,Cauley Woodrow,Alfie Doughty,substitute_in,921d5f17
Everton,84,1:2,Arnaut Danjuma,Dwight McNeil,substitute_in,921d5f17
Manchester United,61,0:1,Alejandro Garnacho,Facundo Pellistri,substitute_in,ef2b7ab9
Manchester United,77,0:1,Christian Eriksen,Marcus Rashford,substitute_in,ef2b7ab9
Manchester United,77,0:1,Anthony Martial,Mason Mount,substitute_in,ef2b7ab9
Crystal Palace,78,0:1,Jaïro Riedewald,Jeffrey Schlupp,substitute_in,ef2b7ab9
Manchester United,87,0:1,Harry Maguire,Raphaël Varane,substitute_in,ef2b7ab9
Manchester United,88,0:1,Donny van de Beek,Victor Lindelöf,substitute_in,ef2b7ab9
Crystal Palace,88,0:1,Chris Richards,Eberechi Eze,substitute_in,ef2b7ab9
Nottingham Forest,60,0:1,Harry Toffolo,Callum Hudson-Odoi,substitute_in,923467c5
Nottingham Forest,60,0:1,Morgan Gibbs-White,Anthony Elanga,substitute_in,923467c5
Brentford,69,1:1,Frank Onyeka,Mathias Jensen,substitute_in,923467c5
Brentford,69,1:1,Saman Ghoddos,Aaron Hickey,substitute_in,923467c5
Brentford,75,1:1,Neal Maupay,Keane Lewis-Potter,substitute_in,923467c5
Nottingham Forest,77,1:1,Cheikhou Kouyaté,Ibrahim Sangaré,substitute_in,923467c5
Nottingham Forest,80,1:1,Divock Origi,Nicolás Domínguez,substitute_in,923467c5
Nottingham Forest,81,1:1,Chris Wood,Taiwo Awoniyi,substitute_in,923467c5
Brentford,89,1:1,Michael Olakigbe,Vitaly Janelt,substitute_in,923467c5
Brentford,89,1:1,Mads Roerslev,Kristoffer Ajer,substitute_in,923467c5
Chelsea,46,0:2,Ian Maatsen,Mykhailo Mudryk,substitute_in,c9787e60
Fulham,53,0:2,Carlos Vinícius,Raúl Jiménez,substitute_in,c9787e60
Fulham,54,0:2,Alex Iwobi,Harry Wilson,substitute_in,c9787e60
Fulham,65,0:2,Tom Cairney,Harrison Reed,substitute_in,c9787e60
Chelsea,65,0:2,Raheem Sterling,Armando Broja,substitute_in,c9787e60
Fulham,75,0:2,Saša Lukić,Andreas Pereira,substitute_in,c9787e60
Chelsea,78,0:2,Lesley Ugochukwu,Cole Palmer,substitute_in,c9787e60
Chelsea,90+5,0:2,Alex Matos,Enzo Fernández,substitute_in,c9787e60
Chelsea,90+6,0:2,Noni Madueke,Moisés Caicedo,substitute_in,c9787e60
Luton Town,21,0:0,Reece Burke,Amari'i Bell,substitute_in,4f7b3f27
Luton Town,62,0:1,Elijah Adebayo,Issa Kaboré,substitute_in,4f7b3f27
Luton Town,69,0:1,Tahith Chong,Jacob Brown,substitute_in,4f7b3f27
Burnley,74,0:1,Aaron Ramsey,Zeki Amdouni,substitute_in,4f7b3f27
Burnley,75,0:1,Jacob Bruun Larsen,Luca Koleosho,substitute_in,4f7b3f27
Burnley,80,0:1,Jay Rodriguez,Lyle Foster,substitute_in,4f7b3f27
Burnley,90+4,1:2,Hannes Delcroix,Aaron Ramsey,substitute_in,4f7b3f27
Tottenham Hotspur,46,0:0,Pierre Højbjerg,Richarlison,substitute_in,d021f28f
Luton Town,59,0:1,Teden Mengi,Mads Juel Andersen,substitute_in,d021f28f
Luton Town,66,0:1,Luke Berry,Jacob Brown,substitute_in,d021f28f
Luton Town,67,0:1,Cauley Woodrow,Elijah Adebayo,substitute_in,d021f28f
Luton Town,67,0:1,Tahith Chong,Pelly Ruddock Mpanzu,substitute_in,d021f28f
Tottenham Hotspur,76,0:1,Emerson,Son Heung-min,substitute_in,d021f28f
Tottenham Hotspur,76,0:1,Oliver Skipp,James Maddison,substitute_in,d021f28f
Luton Town,81,0:1,Ross Barkley,Tom Lockyer,substitute_in,d021f28f
Tottenham Hotspur,82,0:1,Ben Davies,Destiny Udogie,substitute_in,d021f28f
Tottenham Hotspur,90+2,0:1,Alejo Véliz,Dejan Kulusevski,substitute_in,d021f28f
Manchester United,46,0:1,Christian Eriksen,Casemiro,substitute_in,5006142a
Manchester United,63,0:1,Antony,Mason Mount,substitute_in,5006142a
Manchester United,63,0:1,Alejandro Garnacho,Marcus Rashford,substitute_in,5006142a
Brentford,70,0:1,Neal Maupay,Yoane Wissa,substitute_in,5006142a
Brentford,70,0:1,Frank Onyeka,Vitaly Janelt,substitute_in,5006142a
Manchester United,71,0:1,Anthony Martial,Victor Lindelöf,substitute_in,5006142a
Brentford,83,0:1,Saman Ghoddos,Mathias Jensen,substitute_in,5006142a
Manchester United,87,0:1,Scott McTominay,Sofyan Amrabat,substitute_in,5006142a
Bournemouth,46,2:0,Joe Rothwell,Ryan Christie,substitute_in,497b9558
Bournemouth,57,2:0,Luis Sinisterra,Dango Ouattara,substitute_in,497b9558
Bournemouth,66,3:0,Kieffer Moore,Lewis Cook,substitute_in,497b9558
Bournemouth,67,3:0,David Brooks,Milos Kerkez,substitute_in,497b9558
Everton,78,3:0,Nathan Patterson,Jack Harrison,substitute_in,497b9558
Everton,83,3:0,Beto,Dominic Calvert-Lewin,substitute_in,497b9558
Bournemouth,86,3:0,Max Aarons,Adam Smith,substitute_in,497b9558
Everton,90+1,3:0,Youssef Chermiti,Abdoulaye Doucouré,substitute_in,497b9558
Crystal Palace,26,0:0,Jesuran Rak Sakyi,Jeffrey Schlupp,substitute_in,1828106c
Nottingham Forest,46,0:0,Gonzalo Montiel,Serge Aurier,substitute_in,1828106c
Nottingham Forest,66,0:0,Anthony Elanga,Callum Hudson-Odoi,substitute_in,1828106c
Crystal Palace,75,0:0,Chris Richards,Jaïro Riedewald,substitute_in,1828106c
Nottingham Forest,76,0:0,Ryan Yates,Ibrahim Sangaré,substitute_in,1828106c
Nottingham Forest,76,0:0,Divock Origi,Chris Wood,substitute_in,1828106c
Nottingham Forest,83,0:0,Cheikhou Kouyaté,Orel Mangala,substitute_in,1828106c
Arsenal,46,0:0,Gabriel Martinelli,Leandro Trossard,substitute_in,59cd18ae
Manchester City,68,0:0,Jeremy Doku,Julián Álvarez,substitute_in,59cd18ae
Manchester City,68,0:0,Matheus Nunes,Mateo Kovačić,substitute_in,59cd18ae
Manchester City,68,0:0,John Stones,Rico Lewis,substitute_in,59cd18ae
Arsenal,75,0:0,Takehiro Tomiyasu,Oleksandr Zinchenko,substitute_in,59cd18ae
Arsenal,75,0:0,Kai Havertz,Eddie Nketiah,substitute_in,59cd18ae
Arsenal,75,0:0,Thomas Partey,Jorginho,substitute_in,59cd18ae
West Ham United,75,1:2,Saïd Benrahma,Michail Antonio,substitute_in,017c9ca5
West Ham United,76,1:2,Kudus Mohammed,Tomáš Souček,substitute_in,017c9ca5
Newcastle United,82,1:2,Jacob Murphy,Miguel Almirón,substitute_in,017c9ca5
Newcastle United,86,1:2,Callum Wilson,Alexander Isak,substitute_in,017c9ca5
Newcastle United,90+3,2:2,Matt Targett,Elliot Anderson,substitute_in,017c9ca5
Wolverhampton Wanderers,46,0:0,Matt Doherty,Rayan Aït Nouri,substitute_in,3292ed35
Aston Villa,62,1:1,Nicolò Zaniolo,Moussa Diaby,substitute_in,3292ed35
Wolverhampton Wanderers,69,1:1,Boubacar Traoré,João Gomes,substitute_in,3292ed35
Wolverhampton Wanderers,76,1:1,Sasa Kalajdzic,Matheus Cunha,substitute_in,3292ed35
Aston Villa,82,1:1,Leon Bailey,Matty Cash,substitute_in,3292ed35
Aston Villa,82,1:1,Youri Tielemans,Boubacar Kamara,substitute_in,3292ed35
Wolverhampton Wanderers,86,1:1,Fábio Silva,Hwang Hee-chan,substitute_in,3292ed35
Luton Town,55,1:0,Issa Kaboré,Reece Burke,substitute_in,d1671efa
Luton Town,72,1:0,Elijah Adebayo,Jacob Brown,substitute_in,d1671efa
Luton Town,72,1:0,Ross Barkley,Pelly Ruddock Mpanzu,substitute_in,d1671efa
Luton Town,72,1:0,Andros Townsend,Tahith Chong,substitute_in,d1671efa
Nottingham Forest,78,2:0,Cheikhou Kouyaté,Ibrahim Sangaré,substitute_in,d1671efa
Nottingham Forest,78,2:0,Joe Worrall,Willy Boly,substitute_in,d1671efa
Nottingham Forest,78,2:0,Ryan Yates,Nicolás Domínguez,substitute_in,d1671efa
Luton Town,81,2:0,Cauley Woodrow,Carlton Morris,substitute_in,d1671efa
Nottingham Forest,88,2:1,Neco Williams,Anthony Elanga,substitute_in,d1671efa
Nottingham Forest,88,2:1,Ola Aina,Serge Aurier,substitute_in,d1671efa
Crystal Palace,61,3:0,Jesuran Rak Sakyi,Jean-Philippe Mateta,substitute_in,21625dde
Newcastle United,69,4:0,Valentino Livramento,Kieran Trippier,substitute_in,21625dde
Newcastle United,69,4:0,Sandro Tonali,Bruno Guimarães,substitute_in,21625dde
Newcastle United,70,4:0,Miguel Almirón,Anthony Gordon,substitute_in,21625dde
Newcastle United,70,4:0,Alexander Isak,Callum Wilson,substitute_in,21625dde
Crystal Palace,70,4:0,Matheus França,Will Hughes,substitute_in,21625dde
Newcastle United,80,4:0,Elliot Anderson,Joelinton,substitute_in,21625dde
Crystal Palace,87,4:0,David Ozoh,Jefferson Lerma,substitute_in,21625dde
Brighton & Hove Albion,16,1:0,Evan Ferguson,Danny Welbeck,substitute_in,b782a834
Brighton & Hove Albion,46,2:0,Joël Veltman,James Milner,substitute_in,b782a834
Brighton & Hove Albion,66,2:0,Ansu Fati,João Pedro,substitute_in,b782a834
Brighton & Hove Albion,66,2:0,Billy Gilmour,Carlos Baleba,substitute_in,b782a834
Manchester City,75,2:1,Rúben Dias,John Stones,substitute_in,b782a834
Manchester City,75,2:1,Jack Grealish,Jeremy Doku,substitute_in,b782a834
Brighton & Hove Albion,90+4,2:1,Jan Paul van Hecke,Solly March,substitute_in,b782a834
Manchester City,90+6,2:1,Nathan Aké,Julián Álvarez,substitute_in,b782a834
Burnley,46,1:0,Luca Koleosho,Wilson Odobert,substitute_in,52781f37
Burnley,66,2:0,Josh Brownhill,Sander Berge,substitute_in,52781f37
Burnley,66,2:0,Jacob Bruun Larsen,Mike Trésor,substitute_in,52781f37
Brentford,76,2:0,Yehor Yarmoliuk,Mathias Jensen,substitute_in,52781f37
Brentford,76,2:0,Mads Roerslev,Kristoffer Ajer,substitute_in,52781f37
Burnley,76,2:0,Nathan Redmond,Zeki Amdouni,substitute_in,52781f37
Burnley,80,2:0,Hannes Delcroix,Jacob Bruun Larsen,substitute_in,52781f37
Brentford,84,2:0,Saman Ghoddos,Frank Onyeka,substitute_in,52781f37
Brentford,88,3:0,Michael Olakigbe,Neal Maupay,substitute_in,52781f37
Wolverhampton Wanderers,46,1:0,Tommy Doyle,João Gomes,substitute_in,007b352e
Bournemouth,57,1:1,Joe Rothwell,Alex Scott,substitute_in,007b352e
Bournemouth,57,1:1,Ryan Christie,David Brooks,substitute_in,007b352e
Bournemouth,75,1:1,Dango Ouattara,Marcus Tavernier,substitute_in,007b352e
Wolverhampton Wanderers,75,1:1,Pablo Sarabia,Toti Gomes,substitute_in,007b352e
Wolverhampton Wanderers,82,1:1,Sasa Kalajdzic,Matheus Cunha,substitute_in,007b352e
Bournemouth,85,1:1,Marcos Senesi,Milos Kerkez,substitute_in,007b352e
Bournemouth,85,1:1,Kieffer Moore,Dominic Solanke,substitute_in,007b352e
Fulham,46,1:0,Raúl Jiménez,Carlos Vinícius,substitute_in,8c6293a3
Fulham,46,1:0,Alex Iwobi,Andreas Pereira,substitute_in,8c6293a3
Tottenham Hotspur,56,2:0,Emerson,Destiny Udogie,substitute_in,8c6293a3
Tottenham Hotspur,62,2:0,Oliver Skipp,Pape Matar Sarr,substitute_in,8c6293a3
Fulham,62,2:0,Harry Wilson,Bobby Reid,substitute_in,8c6293a3
Fulham,72,2:0,Harrison Reed,Saša Lukić,substitute_in,8c6293a3
Tottenham Hotspur,81,2:0,Brennan Johnson,Richarlison,substitute_in,8c6293a3
Tottenham Hotspur,82,2:0,Alejo Véliz,James Maddison,substitute_in,8c6293a3
Tottenham Hotspur,82,2:0,Giovani Lo Celso,Son Heung-min,substitute_in,8c6293a3
Fulham,82,2:0,Tom Cairney,João Palhinha,substitute_in,8c6293a3
Brentford,64,0:1,Frank Onyeka,Mathias Jensen,substitute_in,91e3b922
Chelsea,67,0:1,Reece James,Axel Disasi,substitute_in,91e3b922
Chelsea,67,0:1,Ian Maatsen,Noni Madueke,substitute_in,91e3b922
Brentford,76,0:1,Neal Maupay,Yoane Wissa,substitute_in,91e3b922
Brentford,76,0:1,Yehor Yarmoliuk,Vitaly Janelt,substitute_in,91e3b922
Chelsea,81,0:1,Lesley Ugochukwu,Moisés Caicedo,substitute_in,91e3b922
Chelsea,81,0:1,Deivid Washington,Marc Cucurella,substitute_in,91e3b922
Brentford,84,0:1,Saman Ghoddos,Aaron Hickey,substitute_in,91e3b922
Burnley,46,1:1,Jay Rodriguez,Zeki Amdouni,substitute_in,c4c42d3e
Burnley,60,1:1,Sander Berge,Josh Cullen,substitute_in,c4c42d3e
Burnley,68,1:1,Jacob Bruun Larsen,Anass Zaroury,substitute_in,c4c42d3e
Bournemouth,69,1:1,Dango Ouattara,Antoine Semenyo,substitute_in,c4c42d3e
Burnley,81,2:1,Mike Trésor,Luca Koleosho,substitute_in,c4c42d3e
Burnley,81,2:1,Nathan Redmond,Jóhann Berg Guðmundsson,substitute_in,c4c42d3e
Bournemouth,82,2:1,Milos Kerkez,Marcus Tavernier,substitute_in,c4c42d3e
Bournemouth,82,2:1,Joe Rothwell,Philip Billing,substitute_in,c4c42d3e
Bournemouth,85,2:1,Adam Smith,Max Aarons,substitute_in,c4c42d3e
West Ham United,57,0:1,Saïd Benrahma,Michail Antonio,substitute_in,868a89be
West Ham United,73,0:1,Tomáš Souček,James Ward-Prowse,substitute_in,868a89be
West Ham United,85,0:1,Danny Ings,Aaron Cresswell,substitute_in,868a89be
Everton,89,0:1,Youssef Chermiti,Dominic Calvert-Lewin,substitute_in,868a89be
Brighton & Hove Albion,58,1:0,Ansu Fati,Adam Lallana,substitute_in,a0c422e9
Fulham,58,1:0,Andreas Pereira,Harrison Reed,substitute_in,a0c422e9
Fulham,58,1:0,Rodrigo Muniz,Raúl Jiménez,substitute_in,a0c422e9
Fulham,58,1:0,Harry Wilson,Bobby Reid,substitute_in,a0c422e9
Brighton & Hove Albion,71,1:1,Joël Veltman,Simon Adingra,substitute_in,a0c422e9
Brighton & Hove Albion,71,1:1,Billy Gilmour,Mahmoud Dahoud,substitute_in,a0c422e9
Brighton & Hove Albion,71,1:1,Facundo Buonanotte,Carlos Baleba,substitute_in,a0c422e9
Brighton & Hove Albion,78,1:1,João Pedro,Evan Ferguson,substitute_in,a0c422e9
Fulham,86,1:1,Tom Cairney,Willian,substitute_in,a0c422e9
Fulham,90+2,1:1,Saša Lukić,Alex Iwobi,substitute_in,a0c422e9
Liverpool,58,2:0,Cody Gakpo,Diogo Jota,substitute_in,79bf0c7f
Liverpool,59,2:0,Harvey Elliott,Ryan Gravenberch,substitute_in,79bf0c7f
Nottingham Forest,69,2:0,Harry Toffolo,Ola Aina,substitute_in,79bf0c7f
Nottingham Forest,69,2:0,Taiwo Awoniyi,Willy Boly,substitute_in,79bf0c7f
Nottingham Forest,69,2:0,Ryan Yates,Nicolás Domínguez,substitute_in,79bf0c7f
Liverpool,80,3:0,Wataru Endo,Darwin Núñez,substitute_in,79bf0c7f
Nottingham Forest,83,3:0,Andrey Santos,Orel Mangala,substitute_in,79bf0c7f
Nottingham Forest,83,3:0,Neco Williams,Morgan Gibbs-White,substitute_in,79bf0c7f
Liverpool,89,3:0,Joe Gomez,Trent Alexander-Arnold,substitute_in,79bf0c7f
Crystal Palace,58,0:1,Eberechi Eze,Cheick Doucouré,substitute_in,8797f9a9
Crystal Palace,70,0:1,Naouirou Ahamada,Jeffrey Schlupp,substitute_in,8797f9a9
Crystal Palace,70,0:1,Nathaniel Clyne,Joel Ward,substitute_in,8797f9a9
Burnley,78,0:1,Wilson Odobert,Luca Koleosho,substitute_in,8797f9a9
Burnley,78,0:1,Nathan Redmond,Zeki Amdouni,substitute_in,8797f9a9
Crystal Palace,86,0:1,Chris Richards,Odsonne Édouard,substitute_in,8797f9a9
Burnley,87,0:1,Mike Trésor,Jordan Beyer,substitute_in,8797f9a9
Burnley,90+2,0:1,Jacob Bruun Larsen,Jóhann Berg Guðmundsson,substitute_in,8797f9a9
Manchester United,63,0:0,Facundo Pellistri,Antony,substitute_in,31273be0
Fulham,76,0:0,Carlos Vinícius,Rodrigo Muniz,substitute_in,31273be0
Fulham,76,0:0,Saša Lukić,Willian,substitute_in,31273be0
Manchester United,79,0:0,Anthony Martial,Rasmus Højlund,substitute_in,31273be0
Manchester United,79,0:0,Mason Mount,Christian Eriksen,substitute_in,31273be0
Fulham,81,0:0,Bobby Reid,Andreas Pereira,substitute_in,31273be0
Fulham,89,0:0,Raúl Jiménez,Alex Iwobi,substitute_in,31273be0
Fulham,90,0:0,Tom Cairney,Harry Wilson,substitute_in,31273be0
Manchester United,90+3,0:1,Raphaël Varane,Alejandro Garnacho,substitute_in,31273be0
Bournemouth,44,3:0,Joe Rothwell,Alex Scott,substitute_in,e75a870b
Manchester City,46,3:0,Phil Foden,Erling Haaland,substitute_in,e75a870b
Bournemouth,46,3:0,Marcos Senesi,Chris Mepham,substitute_in,e75a870b
Manchester City,71,4:0,Matheus Nunes,Julián Álvarez,substitute_in,e75a870b
Manchester City,71,4:0,Kalvin Phillips,Rodri,substitute_in,e75a870b
Manchester City,71,4:0,Rico Lewis,John Stones,substitute_in,e75a870b
Bournemouth,71,4:0,Antoine Semenyo,Philip Billing,substitute_in,e75a870b
Bournemouth,72,4:0,Luis Sinisterra,Marcus Tavernier,substitute_in,e75a870b
Manchester City,85,5:1,Oscar Bobb,Bernardo Silva,substitute_in,e75a870b
Bournemouth,85,5:1,Justin Kluivert,Dominic Solanke,substitute_in,e75a870b
Newcastle United,46,0:0,Valentino Livramento,Dan Burn,substitute_in,6096abaa
Newcastle United,62,0:0,Joe Willock,Callum Wilson,substitute_in,6096abaa
Newcastle United,63,0:0,Jacob Murphy,Miguel Almirón,substitute_in,6096abaa
Arsenal,73,1:0,Oleksandr Zinchenko,Ben White,substitute_in,6096abaa
Newcastle United,79,1:0,Matt Ritchie,Jacob Murphy,substitute_in,6096abaa
Arsenal,79,1:0,Leandro Trossard,Eddie Nketiah,substitute_in,6096abaa
Arsenal,79,1:0,Fabio Vieira,Jorginho,substitute_in,6096abaa
Luton Town,61,0:0,Tahith Chong,Andros Townsend,substitute_in,a62b97ba
Liverpool,66,0:0,Harvey Elliott,Dominik Szoboszlai,substitute_in,a62b97ba
Liverpool,66,0:0,Cody Gakpo,Diogo Jota,substitute_in,a62b97ba
Liverpool,67,0:0,Kostas Tsimikas,Joe Gomez,substitute_in,a62b97ba
Luton Town,75,0:0,Elijah Adebayo,Carlton Morris,substitute_in,a62b97ba
Luton Town,79,0:0,Jacob Brown,Chiedozie Ogbene,substitute_in,a62b97ba
Liverpool,83,1:0,Luis Díaz,Ryan Gravenberch,substitute_in,a62b97ba
Aston Villa,46,1:0,Leon Bailey,Nicolò Zaniolo,substitute_in,ac18f108
Aston Villa,59,2:0,Youri Tielemans,Matty Cash,substitute_in,ac18f108
Nottingham Forest,71,2:0,Serge Aurier,Harry Toffolo,substitute_in,ac18f108
Aston Villa,78,2:0,Diego Carlos,Boubacar Kamara,substitute_in,ac18f108
Nottingham Forest,82,2:0,Danilo,Taiwo Awoniyi,substitute_in,ac18f108
Nottingham Forest,86,2:0,Neco Williams,Ola Aina,substitute_in,ac18f108
Aston Villa,86,2:0,Leander Dendoncker,Douglas Luiz,substitute_in,ac18f108
Nottingham Forest,87,2:0,Ryan Yates,Nicolás Domínguez,substitute_in,ac18f108
Tottenham Hotspur,63,0:1,Rodrigo Bentancur,Pape Matar Sarr,substitute_in,1634f066
Wolverhampton Wanderers,67,0:1,Matt Doherty,Nélson Semedo,substitute_in,1634f066
Wolverhampton Wanderers,73,0:1,Sasa Kalajdzic,Jean-Ricner Bellegarde,substitute_in,1634f066
Tottenham Hotspur,75,0:1,Bryan Gil,Brennan Johnson,substitute_in,1634f066
Tottenham Hotspur,76,0:1,Giovani Lo Celso,Yves Bissouma,substitute_in,1634f066
Wolverhampton Wanderers,87,0:1,Pablo Sarabia,João Gomes,substitute_in,1634f066
Wolverhampton Wanderers,87,0:1,Tommy Doyle,Rayan Aït Nouri,substitute_in,1634f066
Manchester United,40,0:0,Mason Mount,Christian Eriksen,substitute_in,4b9f3f25
Luton Town,61,1:0,Tahith Chong,Andros Townsend,substitute_in,4b9f3f25
Manchester United,68,1:0,Antony,Alejandro Garnacho,substitute_in,4b9f3f25
Luton Town,73,1:0,Jordan Clark,Alfie Doughty,substitute_in,4b9f3f25
Manchester United,79,1:0,Anthony Martial,Rasmus Højlund,substitute_in,4b9f3f25
Manchester United,79,1:0,Raphaël Varane,Sergio Reguilón,substitute_in,4b9f3f25
Luton Town,85,1:0,Pelly Ruddock Mpanzu,Marvelous Nakamba,substitute_in,4b9f3f25
Luton Town,86,1:0,Ryan John Giles,Chiedozie Ogbene,substitute_in,4b9f3f25
Luton Town,86,1:0,Elijah Adebayo,Issa Kaboré,substitute_in,4b9f3f25
Newcastle United,31,0:0,Matt Ritchie,Miguel Almirón,substitute_in,641024cf
Newcastle United,46,0:0,Valentino Livramento,Lewis Hall,substitute_in,641024cf
Newcastle United,66,1:0,Ben Parkinson,Lewis Miley,substitute_in,641024cf
Bournemouth,68,1:0,Luis Sinisterra,Justin Kluivert,substitute_in,641024cf
Bournemouth,68,1:0,Adam Smith,Max Aarons,substitute_in,641024cf
Bournemouth,81,2:0,Dango Ouattara,Antoine Semenyo,substitute_in,641024cf
Newcastle United,90+5,2:0,Emil Krafth,Joe Willock,substitute_in,641024cf
Bournemouth,90+6,2:0,Joe Rothwell,Marcus Tavernier,substitute_in,641024cf
Arsenal,59,2:1,Fabio Vieira,Kai Havertz,substitute_in,2cb4e4dc
Burnley,80,3:1,Jacob Bruun Larsen,Luca Koleosho,substitute_in,2cb4e4dc
Burnley,80,3:1,Aaron Ramsey,Zeki Amdouni,substitute_in,2cb4e4dc
Arsenal,81,3:1,Reiss Nelson,Bukayo Saka,substitute_in,2cb4e4dc
Arsenal,81,3:1,Eddie Nketiah,Leandro Trossard,substitute_in,2cb4e4dc
Burnley,85,3:1,Michael Obafemi,Josh Brownhill,substitute_in,2cb4e4dc
Burnley,88,3:1,Wilson Odobert,Vitinho,substitute_in,2cb4e4dc
Arsenal,89,3:1,Jakub Kiwior,Gabriel Martinelli,substitute_in,2cb4e4dc
Brentford,46,1:0,Frank Onyeka,Vitaly Janelt,substitute_in,996ee990
Brentford,72,2:0,Saman Ghoddos,Mads Roerslev,substitute_in,996ee990
Brentford,72,2:0,Yehor Yarmoliuk,Mathias Jensen,substitute_in,996ee990
Brentford,72,2:0,Neal Maupay,Yoane Wissa,substitute_in,996ee990
Liverpool,83,3:0,Harvey Elliott,Cody Gakpo,substitute_in,996ee990
Liverpool,83,3:0,Luis Díaz,Diogo Jota,substitute_in,996ee990
Liverpool,90,3:0,Jarell Quansah,Trent Alexander-Arnold,substitute_in,996ee990
Liverpool,90+4,3:0,James McConnell,Dominik Szoboszlai,substitute_in,996ee990
Nottingham Forest,46,1:1,Danilo,Nicolás Domínguez,substitute_in,76b8e568
Nottingham Forest,76,2:2,Willy Boly,Murillo,substitute_in,76b8e568
Nottingham Forest,76,2:2,Chris Wood,Taiwo Awoniyi,substitute_in,76b8e568
Nottingham Forest,76,2:2,Serge Aurier,Ola Aina,substitute_in,76b8e568
West Ham United,79,2:2,Michail Antonio,Edson Álvarez,substitute_in,76b8e568
Nottingham Forest,90,3:2,Divock Origi,Ibrahim Sangaré,substitute_in,76b8e568
West Ham United,90+5,3:2,Angelo Ogbonna,Kudus Mohammed,substitute_in,76b8e568
West Ham United,90+9,3:2,Aaron Cresswell,Lucas Paquetá,substitute_in,76b8e568
Sheffield United,46,0:2,Anel Ahmedhodžić,Jayden Bogle,substitute_in,799a2c04
Sheffield United,46,0:2,Oliver McBurnie,Vinicius Souza,substitute_in,799a2c04
Bournemouth,46,0:2,Milos Kerkez,Lloyd Kelly,substitute_in,799a2c04
Sheffield United,66,0:3,Ben Osborn,Luke Thomas,substitute_in,799a2c04
Bournemouth,66,0:3,Philip Billing,Justin Kluivert,substitute_in,799a2c04
Bournemouth,66,0:3,Luis Sinisterra,Antoine Semenyo,substitute_in,799a2c04
Sheffield United,81,0:3,John Fleck,Gustavo Hamer,substitute_in,799a2c04
Sheffield United,81,0:3,William Osula,James Mcatee,substitute_in,799a2c04
Bournemouth,82,0:3,David Brooks,Marcus Tavernier,substitute_in,799a2c04
Chelsea,69,3:1,Mykhailo Mudryk,Conor Gallagher,substitute_in,8c8f48f4
Chelsea,69,3:1,Moisés Caicedo,Lesley Ugochukwu,substitute_in,8c8f48f4
Chelsea,69,3:1,Armando Broja,Nicolas Jackson,substitute_in,8c8f48f4
Chelsea,75,3:1,Levi Colwill,Cole Palmer,substitute_in,8c8f48f4
Newcastle United,81,3:1,Matt Ritchie,Alexander Isak,substitute_in,8c8f48f4
Newcastle United,86,4:1,Paul Dummett,Jamaal Lascelles,substitute_in,8c8f48f4
Chelsea,87,4:1,Noni Madueke,Raheem Sterling,substitute_in,8c8f48f4
Newcastle United,87,4:1,Alex Murphy,Miguel Almirón,substitute_in,8c8f48f4
Newcastle United,90+2,4:1,Michael Ndiweni,Anthony Gordon,substitute_in,8c8f48f4
Newcastle United,90+3,4:1,Amadou Diallo,Lewis Miley,substitute_in,8c8f48f4
Crystal Palace,49,0:0,Jordan Ayew,Eberechi Eze,substitute_in,f4805536
Crystal Palace,54,0:0,Will Hughes,Cheick Doucouré,substitute_in,f4805536
Luton Town,61,0:0,Jordan Clark,Pelly Ruddock Mpanzu,substitute_in,f4805536
Luton Town,61,0:0,Tahith Chong,Andros Townsend,substitute_in,f4805536
Luton Town,74,1:1,Elijah Adebayo,Carlton Morris,substitute_in,f4805536
Luton Town,79,1:1,Jacob Brown,Alfie Doughty,substitute_in,f4805536
