Player,Team,Position,GW,FPTS,Default FPTS,Ghost Points,Default Ghosts,Negative Fpts,Default Negative FPTS,GS:GP,FPts/90,Ghosts/90,GPR,Ros Rank,GS,GP,G,KP,AT,SOT,TKW,YC,RC,ACNC,INT,CLR,BS,DW,DL,LBA,PEN,PKM,PKD,OG,GAO,CS,PTS,DPT,OFF,PKG,MIN,FP/G,FPTS/GS
Reece James,CHE,D,20,10.0,9.25,11.75,16.25,-1.75,-7.0,0.10,8.85,10.4,1.18,41,1,3,0,3,0,0,0,0,0,4,0,1,0,7,7,4,0,0,0,0,3,0,0.0,1.0,0.0,0.0,102,3.33,10.0
Chris Mepham,BOU,D,15,9.5,6.5,11.5,12.5,-2.0,-6.0,0.10,7.09,8.58,1.21,200,1,3,0,1,0,1,1,1,0,0,2,6,2,3,4,4,0,0,0,0,2,0,0.0,6.0,0.0,0.0,121,3.17,9.5
Carney Chukwuemeka,CHE,M,3,9.5,10.0,5.25,6.0,-4.75,-5.0,0.20,6.83,3.78,0.55,200,2,2,1,1,0,1,1,2,0,0,0,0,0,3,11,1,0,0,0,0,2,0,1.0,8.0,0.0,0.0,125,4.75,4.75
Sergio Gomez,MCI,D,9,9.5,12.0,3.0,5.0,-0.5,0.0,0.00,59.38,18.75,0.32,200,0,2,0,1,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,14,4.75,inf
Boubacar Traore,WOL,M,49,9.25,9.0,16.25,14.0,-7.0,-5.0,0.20,3.61,6.35,1.76,200,2,7,0,1,0,0,9,1,0,0,1,3,1,14,24,4,0,0,0,0,7,0,0.0,15.0,0.0,0.0,230,1.32,4.62
Keane Lewis-Potter,BRF,F,27,9.25,9.5,12.75,11.5,-3.5,-2.0,0.20,3.89,5.36,1.38,200,2,6,0,1,0,1,0,0,0,1,1,2,0,13,14,3,0,0,0,0,5,0,0.0,1.0,1.0,0.0,214,1.54,4.62
Michael Keane,EVE,D,15,8.75,5.25,21.75,21.75,-5.0,-16.5,0.20,3.49,8.67,2.49,200,2,4,0,0,0,2,2,1,0,0,4,7,2,12,12,12,1,0,0,0,7,0,0.0,5.0,0.0,0.0,226,2.19,4.38
Luis Sinisterra,BOU,F,20,8.75,12.5,10.75,12.5,-2.0,0.0,0.00,10.06,12.36,1.23,200,0,3,0,3,0,0,2,0,0,0,1,0,0,11,8,1,0,0,0,0,2,0,0.0,3.0,0.0,0.0,78,2.92,inf
Lesley Ugochukwu,CHE,F,32,8.75,11.0,10.25,11.5,-1.5,-0.5,0.10,5.76,6.74,1.17,200,1,6,0,1,0,0,4,0,0,0,0,2,1,10,6,3,0,0,0,0,2,1,0.0,2.0,0.0,0.0,137,1.46,8.75
George Baldock,SHU,D,18,8.75,4.25,19.25,21.75,-6.5,-17.5,0.30,2.94,6.46,2.2,200,3,4,0,2,0,0,3,1,0,1,2,7,2,17,22,2,0,0,0,0,6,0,0.0,8.0,0.0,0.0,268,2.19,2.92
Tommy Doyle,WOL,M,30,8.5,6.0,9.75,7.0,-1.25,-1.0,0.00,8.25,9.47,1.15,200,0,4,0,1,0,0,2,0,0,1,1,4,1,5,5,5,0,0,0,0,2,0,0.0,0.0,0.0,0.0,93,2.12,inf
Adam Lallana,BHA,M,24,8.5,11.0,10.5,13.0,-3.0,-3.0,0.20,4.64,5.74,1.24,200,2,5,0,5,0,0,0,1,0,1,1,0,0,7,8,0,0,0,0,0,2,1,0.0,5.0,0.0,0.0,165,1.7,4.25
Cheikhou Kouyate,NOT,M,34,8.5,8.0,12.0,10.5,-3.5,-2.5,0.00,11.64,16.44,1.41,200,0,7,0,1,0,0,2,1,0,0,1,8,1,12,10,0,0,0,0,0,3,0,0.0,3.0,0.0,0.0,66,1.21,inf
Mohamed Elneny,ARS,M,10,8.5,7.5,1.5,1.5,0.0,0.0,0.00,850.0,150.0,0.18,200,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8.5,inf
Lewis Dobbin,EVE,F,6,8.25,11.5,11.0,12.5,-2.75,-1.0,0.10,6.4,8.53,1.33,200,1,3,0,1,0,1,2,0,0,0,1,0,0,12,11,0,0,0,0,0,2,1,0.0,1.0,0.0,0.0,116,2.75,8.25
Lisandro Martinez,MUN,D,15,8.25,2.5,20.25,21.5,-11.0,-26.0,0.50,1.98,4.86,2.45,200,5,5,0,3,1,0,6,2,0,0,2,10,2,12,16,7,0,0,0,1,8,0,1.0,8.0,0.0,0.0,375,1.65,1.65
Hugo Bueno,WOL,D,21,8.0,6.75,11.5,12.75,-7.5,-12.0,0.10,5.33,7.67,1.44,200,1,6,0,2,0,0,1,0,0,3,1,3,1,6,10,1,0,0,0,1,3,1,0.0,1.0,0.0,0.0,135,1.33,8.0
Jarell Quansah,LIV,D,12,8.0,7.5,9.25,9.5,-1.25,-2.0,0.10,6.45,7.46,1.16,200,1,3,0,0,0,0,3,0,0,0,2,6,0,7,5,3,0,0,0,0,1,0,0.0,1.0,0.0,0.0,112,2.67,8.0
Nathaniel Clyne,CRY,D,18,8.0,7.75,2.5,1.75,-0.5,0.0,0.10,6.61,2.07,0.31,200,1,2,0,0,0,0,1,0,0,0,0,3,0,2,2,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,109,4.0,8.0
Calvin Bassey,FUL,D,37,8.0,-3.0,20.25,17.0,-8.25,-20.0,0.30,2.37,6.01,2.53,200,3,6,0,0,0,0,5,0,1,0,4,12,2,12,5,11,0,0,0,0,6,0,0.0,7.0,0.0,0.0,303,1.33,2.67
Auston Trusty,SHU,D,39,7.75,1.75,26.75,28.25,-3.0,-26.5,0.30,2.47,8.52,3.45,200,3,5,0,1,0,0,7,1,0,0,4,21,3,19,8,2,0,0,0,0,12,0,0.0,5.0,1.0,0.0,283,1.55,2.58
Angelo Ogbonna,WHU,D,5,7.5,4.75,7.75,6.75,-0.25,-2.0,0.10,6.15,6.35,1.03,200,1,2,0,0,0,0,0,0,0,0,1,7,3,3,1,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,110,3.75,7.5
Yasser Larouci,SHU,D,18,7.0,0.0,15.75,14.5,-2.75,-14.5,0.10,2.92,6.56,2.25,200,1,5,0,0,0,1,1,0,0,0,5,10,1,9,11,1,0,0,0,0,7,0,0.0,3.0,0.0,0.0,216,1.4,7.0
Ben Mee,BRF,D,9,6.75,4.0,11.0,12.0,-2.25,-8.0,0.20,4.02,6.55,1.63,200,2,2,0,1,0,0,5,0,0,0,1,4,1,7,9,4,0,0,0,0,3,0,0.0,1.0,0.0,0.0,151,3.38,3.38
Sergio Reguilon,MUN,D,21,6.5,3.25,8.5,7.75,-4.0,-10.5,0.20,3.28,4.29,1.31,200,2,3,0,2,0,0,0,1,0,0,1,3,0,9,12,1,0,0,0,0,4,1,0.0,4.0,1.0,0.0,178,2.17,3.25
Facundo Pellistri,MUN,M,15,6.25,5.5,8.25,6.5,-2.0,-1.0,0.10,7.02,9.27,1.32,200,1,4,0,0,0,0,2,0,0,0,1,3,0,11,8,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,80,1.56,6.25
Facundo Buonanotte,BHA,M,16,6.25,4.5,8.75,6.0,-2.5,-1.5,0.10,8.93,12.5,1.4,200,1,2,0,1,0,1,0,0,0,0,2,0,0,7,10,1,0,0,0,0,1,0,0.0,2.0,0.0,0.0,63,3.12,6.25
Hamed Traore,BOU,M,11,6.0,10.0,8.0,10.5,-2.0,-0.5,0.00,13.04,17.39,1.33,200,0,3,0,1,0,2,0,0,0,0,0,0,0,6,8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,41,2.0,inf
Gonzalo Montiel,NOT,D,23,6.0,5.25,10.0,11.25,-4.0,-6.0,0.10,3.3,5.49,1.67,200,1,4,0,2,0,0,2,2,0,0,2,5,0,6,8,3,0,0,0,0,1,0,0.0,11.0,1.0,0.0,164,1.5,6.0
Aaron Cresswell,WHU,D,10,5.75,3.5,6.0,5.5,-0.25,-2.0,0.10,6.18,6.45,1.04,200,1,1,0,1,0,0,0,0,0,2,0,2,0,4,1,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,84,5.75,5.75
Connor Roberts,BUR,D,43,5.75,-20.0,36.5,27.5,-13.75,-47.5,0.80,0.71,4.49,6.35,200,8,9,0,6,1,0,4,2,1,2,4,21,4,21,19,11,0,0,0,0,20,0,0.0,13.0,0.0,0.0,732,0.06,0.72
Ian Maatsen,CHE,D,38,5.75,5.75,10.0,11.75,-4.25,-6.0,0.00,5.13,8.93,1.74,200,0,7,0,2,0,0,2,1,0,1,2,3,0,6,13,1,0,0,0,0,1,0,0.0,6.0,0.0,0.0,101,0.82,inf
Rhian Brewster,SHU,F,34,5.25,5.5,6.75,6.0,-1.5,-0.5,0.10,4.1,5.27,1.29,200,1,4,0,1,0,1,1,0,0,0,0,1,0,6,6,0,0,0,0,0,5,0,0.0,1.0,0.0,0.0,115,1.31,5.25
Kalvin Phillips,MCI,M,17,5.0,4.0,6.5,5.0,-1.5,-1.0,0.00,6.76,8.78,1.3,200,0,3,0,0,0,0,2,0,0,1,1,2,0,4,6,4,0,0,0,0,1,0,0.0,2.0,0.0,0.0,67,1.67,inf
Jairo Riedewald,CRY,M,15,5.0,5.0,5.25,4.5,-1.25,-0.5,0.10,5.32,5.59,1.05,200,1,2,0,0,0,0,1,0,0,0,2,0,0,5,5,1,0,0,0,0,0,1,0.0,2.0,0.0,0.0,85,2.5,5.0
Alex Scott,BOU,M,19,5.0,8.0,8.0,10.0,-3.0,-2.0,0.20,3.09,4.94,1.6,144,2,2,0,1,0,0,1,1,0,0,1,0,0,11,8,0,0,0,0,0,2,0,0.0,5.0,0.0,0.0,146,2.5,2.5
Nathan Redmond,BUR,M,27,5.0,5.5,6.0,6.0,-1.0,-0.5,0.00,6.25,7.5,1.2,200,0,5,0,1,0,0,1,0,0,1,0,1,0,6,4,1,0,0,0,0,3,0,0.0,1.0,1.0,0.0,72,1.0,inf
Aleksandar Mitrovic,FUL,F,1,4.5,6.0,4.75,6.0,-0.25,0.0,0.00,13.24,13.97,1.06,200,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,31,4.5,inf
Jack Hinshelwood,BHA,M,7,4.25,7.0,5.5,7.0,-1.25,0.0,0.10,4.52,5.85,1.29,200,1,1,0,2,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,5,0,0.0,2.0,0.0,0.0,85,4.25,4.25
Hannes Delcroix,BUR,D,36,4.25,-1.0,20.75,23.5,-2.5,-24.5,0.20,1.62,7.89,4.88,200,2,6,0,2,0,2,2,1,0,0,6,6,1,8,6,5,0,0,0,0,11,0,0.0,6.0,0.0,0.0,237,0.71,2.12
Matheus Franca,CRY,F,19,4.0,8.0,4.0,8.0,0.0,0.0,0.00,12.5,12.5,1.0,200,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,29,2.0,inf
Ehor Yarmolyuk,BRF,M,19,4.0,3.5,5.0,4.0,-1.0,-0.5,0.00,13.79,17.24,1.25,200,0,2,0,0,0,1,1,0,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,26,2.0,inf
Mike Tresor,BUR,F,38,4.0,10.0,7.75,11.0,-3.75,-1.0,0.20,1.67,3.24,1.94,200,2,5,0,4,0,0,2,0,0,0,0,1,0,5,15,0,0,0,0,0,5,0,0.0,0.0,1.0,0.0,215,0.8,2.0
Igor Julio dos Santos de Paulo,BHA,D,27,4.0,2.5,11.25,14.5,-3.25,-12.0,0.30,1.49,4.18,2.81,200,3,3,0,2,0,0,2,1,0,0,3,6,1,5,9,1,0,0,0,0,5,0,0.0,9.0,0.0,0.0,242,1.33,1.33
Wataru Endo,LIV,M,32,4.0,2.5,6.75,3.5,-2.75,-1.0,0.10,3.25,5.49,1.69,200,1,6,0,0,0,0,2,0,0,0,1,4,0,7,11,1,0,0,0,0,2,0,0.0,3.0,0.0,0.0,111,0.67,4.0
Noni Madueke,CHE,F,32,4.0,6.5,6.75,8.0,-2.75,-1.5,0.10,3.17,5.36,1.69,200,1,5,0,2,0,1,0,0,0,1,0,1,0,3,11,0,0,0,0,0,3,0,0.0,2.0,0.0,0.0,113,0.8,4.0
Philippe Coutinho,AVL,M,3,4.0,6.0,4.5,6.0,-0.5,0.0,0.00,16.67,18.75,1.12,200,0,2,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,22,2.0,inf
Ben Osborn,SHU,M,25,4.0,0.5,9.25,6.0,-5.25,-5.5,0.30,1.54,3.57,2.31,200,3,5,0,1,0,0,1,2,0,2,0,6,0,6,13,5,0,0,0,0,5,0,0.0,7.0,0.0,0.0,233,0.8,1.33
Reiss Nelson,ARS,F,27,3.75,5.5,5.5,6.0,-1.75,-0.5,0.00,6.94,10.19,1.47,200,0,4,0,2,0,0,1,0,0,1,0,2,0,3,7,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0,49,0.94,inf
Benson Manuel,BUR,F,10,3.75,6.5,6.0,7.0,-2.25,-0.5,0.10,5.36,8.57,1.6,200,1,3,0,0,0,1,2,0,0,0,0,0,0,6,9,0,0,0,0,0,3,0,0.0,1.0,0.0,0.0,63,1.25,3.75
Tom Davies,SHU,M,18,3.5,3.5,7.25,7.0,-3.75,-3.5,0.00,5.83,12.08,2.07,200,0,3,0,1,0,0,2,1,0,0,2,2,0,5,11,1,0,0,0,0,5,0,0.0,7.0,0.0,0.0,54,1.17,inf
Benie Traore,SHU,F,25,3.5,14.0,14.75,17.0,-11.25,-3.0,0.30,0.98,4.13,4.21,200,3,6,0,3,0,1,2,0,0,0,1,0,1,13,45,1,0,0,0,0,9,0,0.0,9.0,1.0,0.0,321,0.58,1.17
Kieffer Moore,BOU,F,23,3.5,5.5,5.5,6.0,-2.0,-0.5,0.00,4.02,6.32,1.57,200,0,5,0,1,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,1,0,0.0,2.0,0.0,0.0,78,0.7,inf
Naouirou Ahamada,CRY,M,20,3.5,5.0,4.75,5.0,-1.25,0.0,0.00,5.93,8.05,1.36,200,0,4,0,0,0,0,2,0,0,0,1,0,0,5,5,1,0,0,0,0,2,0,0.0,2.0,0.0,0.0,53,0.88,inf
Aymeric Laporte,MCI,D,1,3.25,3.25,3.25,3.25,0.0,0.0,0.00,29.55,29.55,1.0,200,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,3.25,inf
Mikkel Damsgaard,BRF,M,3,3.25,3.0,4.75,3.0,-1.5,0.0,0.00,5.8,8.48,1.46,200,0,2,0,0,0,1,0,0,0,0,0,1,1,2,6,2,0,0,0,0,0,0,0.0,3.0,0.0,0.0,50,1.62,inf
Zanka,BRF,D,1,3.25,4.0,3.25,4.0,0.0,0.0,0.00,54.17,54.17,1.0,200,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3.25,inf
Chris Richards,CRY,D,20,3.0,3.0,9.0,9.0,-2.0,-6.0,0.10,2.56,7.69,3.0,200,1,3,0,0,0,0,0,0,0,0,2,8,2,5,4,2,1,0,0,0,3,0,0.0,1.0,0.0,0.0,105,1.0,3.0
Oliver Skipp,TOT,M,32,3.0,1.0,6.5,3.5,-3.5,-2.5,0.10,1.95,4.22,2.17,200,1,6,0,0,0,0,3,1,0,0,0,0,0,8,10,4,0,0,0,0,3,0,0.0,6.0,0.0,0.0,139,0.5,3.0
Rodrigo Muniz,FUL,F,24,2.75,3.5,8.0,9.0,-5.25,-5.5,0.00,4.66,13.56,2.91,200,0,4,0,2,0,1,0,1,0,0,1,2,0,5,17,0,0,0,0,0,2,0,0.0,5.0,1.0,0.0,53,0.69,inf
Giovani Lo Celso,TOT,M,12,2.75,3.0,3.0,3.0,-0.25,0.0,0.00,11.46,12.5,1.09,200,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,22,1.38,inf
Luke Harris,FUL,M,4,2.75,3.0,4.0,3.0,-1.25,0.0,0.00,3.4,4.94,1.45,200,0,1,0,0,0,1,1,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,0.0,2.0,0.0,0.0,73,2.75,inf
Kevin De Bruyne,MCI,M,1,2.75,4.0,3.0,4.0,-0.25,0.0,0.10,11.46,12.5,1.09,43,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,22,2.75,2.75
Curtis Jones,LIV,M,23,2.75,1.0,15.0,12.5,-13.25,-12.5,0.40,0.89,4.87,5.45,200,4,5,0,0,0,1,4,1,1,0,2,3,0,16,21,1,0,0,0,0,2,1,0.0,12.0,2.0,0.0,277,0.55,0.69
Jaidon Anthony,BOU,F,6,2.75,3.5,8.25,6.5,-5.5,-3.0,0.20,1.65,4.94,3.0,200,2,3,0,0,0,1,1,1,0,0,1,2,0,8,18,1,0,0,0,0,5,0,0.0,7.0,2.0,0.0,150,0.92,1.38
Adama Traore,FUL,F,9,2.75,2.5,3.25,3.0,-0.5,-0.5,0.00,8.59,10.16,1.18,200,0,3,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,29,0.92,inf
Davinson Sanchez,TOT,D,1,2.5,0.5,6.25,6.5,-1.75,-6.0,0.00,3.01,7.53,2.5,200,0,1,0,0,0,0,0,1,0,0,1,2,2,4,3,3,0,0,0,0,2,0,0.0,5.0,0.0,0.0,75,2.5,inf
Albert Sambi Lokonga,LUT,M,11,2.5,3.5,4.75,4.0,-2.25,-0.5,0.20,1.75,3.32,1.9,200,2,2,0,1,0,1,0,0,0,0,0,0,0,3,9,1,0,0,0,0,2,0,0.0,4.0,0.0,0.0,129,1.25,1.25
Jadon Sancho,MUN,M,6,2.5,5.0,5.0,6.0,-2.5,-1.0,0.00,3.09,6.17,2.0,200,0,3,0,1,0,0,0,0,0,0,1,0,0,6,10,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,73,0.83,inf
Valentino Livramento,NEW,D,24,2.5,1.5,3.5,2.5,-1.0,-1.0,0.00,5.21,7.29,1.4,200,0,4,0,0,0,0,1,0,0,0,1,2,0,3,4,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,43,0.62,inf
Tosin Adarabioyo,FUL,D,3,2.0,2.0,2.0,2.0,0.0,0.0,0.00,200.0,200.0,1.0,200,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2.0,inf
Leander Dendoncker,AVL,M,21,1.5,1.5,2.0,2.0,-0.5,-0.5,0.00,50.0,66.67,1.33,200,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.5,inf
Andre Brooks,SHU,M,3,1.25,1.5,1.5,1.5,-0.25,0.0,0.00,6.58,7.89,1.2,200,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,17,0.62,inf
Michael Olakigbe,BRF,F,26,1.25,2.5,2.75,2.5,-1.5,0.0,0.00,11.36,25.0,2.2,200,0,4,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,10,0.31,inf
Divock Origi,NOT,F,26,1.25,-0.5,3.75,3.0,-2.5,-3.5,0.00,2.08,6.25,3.0,200,0,4,0,1,0,0,0,1,0,1,0,0,0,3,6,1,0,0,0,0,0,0,0.0,4.0,0.0,0.0,54,0.31,inf
Tyrone Mings,AVL,D,1,1.0,0.25,3.0,4.25,0.0,-4.0,0.10,3.03,9.09,3.0,200,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,30,1.0,1.0
David Ozoh,CRY,M,9,1.0,0.5,1.0,0.5,0.0,0.0,0.00,50.0,50.0,1.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1.0,inf
Donny van de Beek,MUN,M,7,1.0,2.0,1.0,2.0,0.0,0.0,0.00,100.0,100.0,1.0,200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,inf
Jay Rodriguez,BUR,F,26,0.75,2.0,3.25,2.5,-2.5,-0.5,0.00,0.62,2.69,4.33,200,0,5,0,0,0,0,1,0,0,0,0,1,1,3,10,0,0,0,0,0,3,0,0.0,3.0,3.0,0.0,109,0.1,inf
Jonny,WOL,D,7,0.75,1.0,1.0,1.0,-0.25,0.0,0.00,25.0,33.33,1.33,200,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.75,inf
Thilo Kehrer,WHU,D,9,0.75,-1.0,2.5,3.0,-1.75,-4.0,0.00,4.41,14.71,3.33,200,0,3,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0.0,4.0,0.0,0.0,15,0.25,inf
Anis Ben Slimane,SHU,M,24,0.75,0.5,6.25,5.0,-5.5,-4.5,0.10,0.68,5.63,8.33,200,1,4,0,0,0,1,1,2,0,0,1,0,0,5,14,1,0,0,0,0,6,0,0.0,8.0,0.0,0.0,100,0.19,0.75
Adam Smith,BOU,D,25,0.75,-2.75,6.0,5.75,-1.25,-8.5,0.10,0.71,5.66,8.0,200,1,3,0,1,0,0,0,0,0,2,0,3,1,2,5,1,0,0,0,0,4,0,0.0,1.0,0.0,0.0,95,0.25,0.75
Deivid Washington de Souza Eugenio,CHE,F,10,0.5,0.5,1.0,1.0,-0.5,-0.5,0.00,5.56,11.11,2.0,200,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,8,0.5,inf
Bertrand Traore,AVL,M,13,0.5,0.5,1.0,1.0,-0.5,-0.5,0.00,5.0,10.0,2.0,200,0,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,0.25,inf
Bryan Gil,TOT,F,10,0.5,0.0,0.5,0.0,0.0,0.0,0.00,50.0,50.0,1.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1,0.5,inf
Shandon Baptiste,BRF,M,1,0.5,0.0,0.5,0.0,0.0,0.0,0.00,2.63,2.63,1.0,200,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,0.5,inf
Danny Ings,WHU,F,38,0.5,1.5,2.0,2.0,-1.5,-0.5,0.00,1.28,5.13,4.0,200,0,7,0,0,0,0,0,0,0,0,0,2,1,1,6,0,0,0,0,0,3,0,0.0,2.0,1.0,0.0,35,0.07,inf
James Hill,BOU,D,1,0.5,0.5,1.0,1.0,-0.5,-0.5,0.00,3.12,6.25,2.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0.0,1.0,0.0,0.0,14,0.5,inf
Jurrien Timber,ARS,D,1,0.25,0.25,1.75,2.25,-1.5,-2.0,0.10,0.46,3.24,7.0,200,1,1,0,0,0,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.0,5.0,1.0,0.0,49,0.25,0.25
Luke Thomas,SHU,D,49,0.25,-10.5,35.0,33.0,-6.75,-43.5,0.60,0.04,5.87,140.0,200,6,7,0,1,0,1,4,1,0,3,6,16,3,24,23,8,0,0,0,0,20,0,0.0,9.0,0.0,0.0,536,0.04,0.04
John Fleck,SHU,M,10,0.0,0.0,0.25,0.0,-0.25,0.0,0.00,0.0,1.25,inf,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0.0,0.0,0.0,0.0,18,0.0,0.0
Tyler Onyango,EVE,M,2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0
Ben Godfrey,EVE,D,4,0.0,0.0,0.25,0.0,-0.25,0.0,0.00,0.0,25.0,inf,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,1,0.0,0.0
Maxwel Cornet,WHU,M,1,0.0,0.0,0.5,0.0,-0.5,0.0,0.00,0.0,50.0,inf,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1,0.0,0.0
Mason Burstow,CHE,F,5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,0.0,0.0
Ryan One,SHU,M,10,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,0.0,0.0
Luke Berry,LUT,M,9,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,24,0.0,0.0
James Tomkins,CRY,D,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0
Ameen Al Dakhil,BUR,D,53,0.0,-13.25,42.5,38.75,-16.5,-52.0,1.00,0.0,4.47,inf,200,10,10,0,1,0,1,4,1,0,1,8,28,4,26,38,18,1,0,0,1,22,0,0.0,9.0,0.0,0.0,855,-0.06,0.0
Konstantinos Mavropanos,WHU,D,7,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0
Jaden Philogene-Bidace,AVL,M,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0
Josh Dasilva,BRF,M,2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,0.0,0.0
Joe Willock,NEW,M,10,0.0,0.5,0.5,1.0,-0.5,-0.5,0.00,0.0,2.63,inf,200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17,0.0,0.0
Thomas Cannon,EVE,F,3,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0
